PT4-M_a	PT1-M_a	PT3-M_a	PT1-U_a	PT2-U_a	PT2-M_a	PT5-M_a	PT4-M	PT1-M	PT3-M	PT1-U	PT2-U	PT2-M	PT5-M	TCp2-M	TCw1-E	TCp1-M	TCw4-E	TCw3-E	TCw2-E	Voltage	Motor1	Motor2	Motor3	Motor4	Statestring
0	0	0	0	0	0	0	-251	-250	-251	-1253	-250	-250	-251	0	0	0	0	0	0	11	0	0	0	0	
0	0	0	0	0	0	0	-251	-250	-251	-1253	-250	-250	-251	0	0	0	0	0	0	11	0	0	0	0	
206	198	197	197	196	197	197	-225	-225	-226	-1128	-225	-225	-226	82	82	82	82	82	82	12	1000	1000	1000	1000	2945
206	198	197	197	196	197	197	-198	-200	-201	-1002	-200	-200	-201	82	82	82	82	82	82	13	1000	1000	1000	1000	2945
206	198	197	197	196	197	197	-172	-175	-176	-877	-175	-175	-177	82	82	82	82	82	82	13	1000	1000	1000	1000	2945
205	198	197	197	196	198	196	-146	-149	-151	-752	-150	-150	-152	81	82	82	82	82	82	14	1000	1000	1000	1000	3910
207	198	197	196	196	200	196	-119	-124	-125	-627	-125	-125	-127	81	82	82	82	82	82	15	1000	1000	1000	1000	4143
207	198	197	196	196	200	196	-93	-99	-100	-503	-100	-100	-102	81	82	82	82	82	82	15	1000	1000	1000	1000	4143
207	198	197	196	196	200	196	-67	-74	-75	-378	-75	-75	-78	81	82	82	82	82	82	15	1000	1000	1000	1000	4143
206	198	197	197	196	198	197	-40	-49	-50	-253	-50	-50	-53	81	82	82	82	82	82	15	1000	1000	1000	1000	4912
206	198	197	197	196	198	197	-14	-24	-25	-127	-25	-25	-28	81	82	82	82	82	82	15	1000	1000	1000	1000	4912
206	198	197	197	196	198	197	12	1	0	-2	0	0	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	4912
207	197	197	196	196	199	197	12	1	0	-3	0	1	-3	81	81	82	82	82	82	15	1000	1000	1000	1000	5687
205	197	197	196	196	198	197	12	1	0	-3	0	1	-3	81	81	82	82	82	82	15	1000	1000	1000	1000	5915
205	197	197	196	196	198	197	12	1	0	-4	0	1	-3	81	81	82	82	82	82	15	1000	1000	1000	1000	5915
205	197	197	196	196	198	197	12	1	0	-5	0	1	-3	81	81	82	82	82	82	15	1000	1000	1000	1000	5915
206	198	197	196	197	198	197	12	1	0	-5	0	1	-3	81	81	82	82	82	82	15	1000	1000	1000	1000	6688
206	198	197	196	197	198	197	12	1	0	-5	0	0	-2	81	81	82	82	82	82	15	1000	1000	1000	1000	6688
206	198	197	196	197	198	197	12	1	0	-5	0	0	-2	81	81	82	82	82	82	15	1000	1000	1000	1000	6688
